formula,scale,threshold,mae,mae_std,coverage,coverage_std,within_5,within_5_std,n_accepted,n_simulations
sqrt,5.0,0.65,3.4333333333333336,0.2081665999466132,0.05185185185185185,0.006415002990995839,0.7833333333333333,0.028867513459481315,5,90
sqrt,5.0,0.7,3.033333333333333,0.8962886439832501,0.04074074074074074,0.016972502573910517,0.85,0.1322875655532295,4,90
sqrt,6.0,0.45,7.410456946510077,1.7494737255924413,0.37777777777777777,0.033333333333333326,0.7176350923979008,0.03648933303147685,34,90
sqrt,6.0,0.5,7.072777777777778,1.0164102591054534,0.2740740740740741,0.006415002990995851,0.73,0.017320508075688787,25,90
sqrt,6.0,0.55,5.0978535353535355,1.3086015682229934,0.21851851851851853,0.03571722504071464,0.747113997113997,0.06390171043419428,20,90
sqrt,6.0,0.6,4.1875,1.5039011769394957,0.16296296296296298,0.025660011963983372,0.7777777777777778,0.07887372702500381,15,90
sqrt,6.0,0.65,3.269047619047619,0.8080062807057035,0.0925925925925926,0.016972502573910513,0.8107142857142856,0.09629620544794833,8,90
sqrt,6.0,0.7,3.255555555555555,0.5124378914488982,0.044444444444444446,0.01111111111111111,0.85,0.1322875655532295,4,90
sqrt,7.0,0.45,7.380803974706414,1.836344840363683,0.4148148148148148,0.03571722504071464,0.6899535423925668,0.058043053175778,37,90
sqrt,7.0,0.5,6.562797619047619,0.6663133497214406,0.3333333333333333,0.022222222222222227,0.7340277777777778,0.015636569790552366,30,90
sqrt,7.0,0.55,4.9940476190476195,1.2937223054535767,0.24814814814814815,0.016972502573910517,0.7635281385281386,0.05121861156283027,22,90
sqrt,7.0,0.6,3.9409383186472966,1.4385021293082572,0.18148148148148147,0.03394500514782105,0.80217512106057,0.05769981345503469,16,90
sqrt,7.0,0.65,3.1616161616161613,0.6888711156213136,0.1074074074074074,0.012830005981991677,0.797979797979798,0.0826803310290146,10,90
sqrt,7.0,0.7,3.255555555555555,0.5124378914488982,0.044444444444444446,0.01111111111111111,0.85,0.1322875655532295,4,90
sqrt,8.0,0.45,7.141356472751821,1.6144902602096984,0.42962962962962964,0.042065987746668705,0.7012884978001258,0.0494337786063111,39,90
sqrt,8.0,0.5,6.457368753953194,0.6445264298338534,0.35185185185185186,0.023129622216290367,0.7270503900484925,0.018829859125882,32,90
sqrt,8.0,0.55,5.022342995169082,1.2455185542090839,0.25555555555555554,0.011111111111111113,0.7545564339042601,0.04033412822347459,23,90
